"sid","id","position","created_at","created_meta","updated_at","updated_meta","meta","business_id","name","date","score","human_address","latitude","longitude","machine_address","needs_recoding"
"4808","87C2115C-0908-47B4-A68D-0575FA8AE543","4808","1434023282","897482","1434023282","897482",NA,"1-30447","Bricktops","2015-02-05T00:00:00","85","{""address"":""3280 PEACHTREE RD STE 100"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30305""}",33.844327245,-84.370466746,NA,"FALSE"
"4809","4EE58615-B7BE-4928-8392-87DACEF721D0","4809","1434023282","897482","1434023282","897482",NA,"FSP-060-000538","Briza","2015-01-28T00:00:00","90","{""address"":""866 WEST PEACHTREE ST"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30308""}",33.778201778,-84.38733357,NA,"FALSE"
"4810","113CCD4A-C4FE-44F1-BDD8-80AD80488A4F","4810","1434023282","897482","1434023282","897482",NA,"FSP-060-001073","Broadway Diner","2015-06-01T00:00:00","98","{""address"":""620 PEACHTREE ST"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30308""}",33.771553112,-84.384982915,NA,"FALSE"
"4811","3B3B6A21-74A4-49FD-B476-75CE2AFFCE40","4811","1434023282","897482","1434023282","897482",NA,"FSP-060-001073","Broadway Diner","2015-05-28T00:00:00","74","{""address"":""620 PEACHTREE ST"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30308""}",33.771553112,-84.384982915,NA,"FALSE"
"4812","0E75DCC3-DEE8-471C-99F1-00C992974228","4812","1434023282","897482","1434023282","897482",NA,"1-28703","Brooklyn Cafe","2015-04-09T00:00:00","89","{""address"":""220 SANDY SPRINGS CIR STE 101"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30328""}",33.9244643650001,-84.38271292,NA,"FALSE"
"4813","ED835C17-DB91-498B-9C3B-D8741243B5E5","4813","1434023282","897482","1434023282","897482",NA,"1-31382","Brooklyn Joes","2015-05-18T00:00:00","97","{""address"":""13065 HIGHWAY 9 N STE 110"",""city"":""ALPHARETTA"",""state"":""GA"",""zip"":""30004""}",34.1010467830001,-84.270580237,NA,"FALSE"
"4814","06A483BD-CBEE-4503-BF4D-126326F45778","4814","1434023282","897482","1434023282","897482",NA,"1-449","Brookview Elementary School","2015-03-18T00:00:00","97","{""address"":""3250 HAMMARKSKJOLD DR"",""city"":""EAST POINT"",""state"":""GA"",""zip"":""30344""}",33.6471467640001,-84.493568225,NA,"FALSE"
"4815","AA6DD4E9-EA6A-4E24-A143-689648B462CE","4815","1434023282","897482","1434023282","897482",NA,"1-23419","Brown Middle School","2015-04-20T00:00:00","96","{""address"":""765 PEEPLES ST SW"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30310""}",33.733991029,-84.420493936,NA,"FALSE"
"4816","2E821FD5-5C06-4CD7-BA6B-93D5CFE90B35","4816","1434023282","897482","1434023282","897482",NA,"1-25706","Brusters Ice Cream","2015-06-02T00:00:00","90","{""address"":""675 WEST CROSSVILLE STE 144"",""city"":""ROSWELL"",""state"":""GA"",""zip"":""30075""}",34.058065189,-84.380476027,NA,"FALSE"
"4817","611C05DA-310C-4280-9A99-FEFFB486D888","4817","1434023282","897482","1434023282","897482",NA,"FSP-060-001677","Buckhead Baptist Church","2015-05-14T00:00:00","82","{""address"":""4100 ROSWELL RD NE"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30342""}",33.867329624,-84.381113553,NA,"FALSE"
"4818","648ABAD9-6A01-4BBE-8B33-5856736B388B","4818","1434023282","897482","1434023282","897482",NA,"1-31833","Buckhead Pizza III","2015-01-27T00:00:00","100","{""address"":""3324 PEACHTREE RD STE B"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30326""}",33.8460640010001,-84.3684995849999,NA,"FALSE"
"4819","993DEF83-0C3B-46C0-B972-2483ADB09BA9","4819","1434023282","897482","1434023282","897482",NA,"FSP-060-001641","Buffalo China","2015-04-21T00:00:00","91","{""address"":""461 MORELAND AVE"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30316""}",33.7414313130001,-84.3492737019999,NA,"FALSE"
"4820","CC0D8DEE-9BB9-44E7-AF6E-B9DD3D489198","4820","1434023282","897482","1434023282","897482",NA,"1-23821","Bunche Middle School","2015-05-08T00:00:00","98","{""address"":""1925 NISKEY LAKE RD SW"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30331""}",33.701232809,-84.5289524619999,NA,"FALSE"
"4821","BB44E6CA-D50E-4761-AE51-52113340195E","4821","1434023282","897482","1434023282","897482",NA,"FSP-060-002418","Burger Fi","2015-05-07T00:00:00","94","{""address"":""77 12TH ST STE 7"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30309""}",33.784481898,-84.389903295,NA,"FALSE"
"4822","4A478395-DE50-4EEE-B7D5-9E32DF425450","4822","1434023282","897482","1434023282","897482",NA,"1-29891","Burger King","2015-01-13T00:00:00","93","{""address"":""860 WOODSTOCK RD"",""city"":""ROSWELL"",""state"":""GA"",""zip"":""30075""}",34.0597042250001,-84.384760525,NA,"FALSE"
"4823","669F3DBD-2BC9-4164-A784-491DFEA8EC7F","4823","1434023282","897482","1434023282","897482",NA,"FSP-060-001563","Burger King","2015-01-14T00:00:00","100","{""address"":""222 HAMMOND DR"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30328""}",33.9191373670001,-84.3801030019999,NA,"FALSE"
"4824","38294DEE-F5AE-4682-8CF3-9E6C262A81B7","4824","1434023282","897482","1434023282","897482",NA,"1-32689","Burger King  2430","2015-04-16T00:00:00","87","{""address"":""5068 OLD NATIONAL HWY"",""city"":""COLLEGE PARK"",""state"":""GA"",""zip"":""30349""}",33.6171715460001,-84.472787942,NA,"FALSE"
"4825","DD61F3B6-3764-40F6-8AB7-07A1D6EEA8B3","4825","1434023282","897482","1434023282","897482",NA,"1-32689","Burger King  2430","2015-01-29T00:00:00","87","{""address"":""5068 OLD NATIONAL HWY"",""city"":""COLLEGE PARK"",""state"":""GA"",""zip"":""30349""}",33.6171715460001,-84.472787942,NA,"FALSE"
"4826","8B7EFFD5-FB46-4833-9E09-C2C733099634","4826","1434023282","897482","1434023282","897482",NA,"FSP-060-001565","Burger King  2745","2015-04-07T00:00:00","89","{""address"":""4636 JONESBORO RD"",""city"":""UNION CITY"",""state"":""GA"",""zip"":""30291""}",33.568557175,-84.539336712,NA,"FALSE"
"4827","79EE208E-7E8A-4880-93C4-8A5AAC5B7BC4","4827","1434023282","897482","1434023282","897482",NA,"FSP-060-001561","Burger King  3843","2015-04-14T00:00:00","99","{""address"":""1122 NORTHSIDE DR"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30318""}",33.7851534120001,-84.4074835709999,NA,"FALSE"
"4828","7A538332-25DE-4672-A7B3-2E4CEAD1196E","4828","1434023282","897482","1434023282","897482",NA,"1-501","Burger King 11073","2015-05-12T00:00:00","100","{""address"":""5025 ABBOTTS BRIDGE RD"",""city"":""ALPHARETTA"",""state"":""GA"",""zip"":""30005""}",34.0643967500001,-84.211982843,NA,"FALSE"
"4829","5590487A-4EFD-4673-B54C-11469FE93278","4829","1434023282","897482","1434023282","897482",NA,"1-501","Burger King 11073","2015-01-15T00:00:00","94","{""address"":""5025 ABBOTTS BRIDGE RD"",""city"":""ALPHARETTA"",""state"":""GA"",""zip"":""30005""}",34.0643967500001,-84.211982843,NA,"FALSE"
"4830","9C2DE017-53F0-476F-BC81-DBC7FF6B7948","4830","1434023282","897482","1434023282","897482",NA,"1-32681","Burger King 3641","2015-05-18T00:00:00","96","{""address"":""2701 METROPOLITAN PKWY"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30315""}",33.6816394090001,-84.407763527,NA,"FALSE"
"4831","BE40766A-0C20-445A-AD4C-ECB26933F3BA","4831","1434023282","897482","1434023282","897482",NA,"1-32681","Burger King 3641","2015-05-11T00:00:00","79","{""address"":""2701 METROPOLITAN PKWY"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30315""}",33.6816394090001,-84.407763527,NA,"FALSE"
"4832","AC2D933D-1FD2-45D0-ACF7-DCCFC17C4A3F","4832","1434023282","897482","1434023282","897482",NA,"FSP-060-002605","Burn Lounge","2015-03-27T00:00:00","100","{""address"":""3461 ROOSEVELT HWY STE 15"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30349""}",33.621925575,-84.5023487839999,NA,"FALSE"
"4833","A7319B17-94E8-4016-9019-D1BA713E3BE8","4833","1434023282","897482","1434023282","897482",NA,"FSP-060-001507","Buttermilk Kitchen","2015-05-14T00:00:00","97","{""address"":""4225 ROSWELL RD NE"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30342""}",33.869860035,-84.381017914,NA,"FALSE"
"4834","CDF9330E-AB9E-4B98-88B7-DD05AA17435C","4834","1434023282","897482","1434023282","897482",NA,"FSP-060-001745","C J Buffalo House","2015-06-05T00:00:00","85","{""address"":""3565 MARTIN LUTHER KING JR DR"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30331""}",33.758567241,-84.50407243,NA,"FALSE"
"4835","A69C5C1B-C11D-4552-972A-94ABFF7F2F64","4835","1434023282","897482","1434023282","897482",NA,"1-514","CH Gullatt Elementary School","2015-03-12T00:00:00","95","{""address"":""6110 DODSON DR"",""city"":""UNION CITY"",""state"":""GA"",""zip"":""30291""}",33.588531582,-84.540197581,NA,"FALSE"
"4836","71866318-7233-4AE9-820C-D3BA8170C3DA","4836","1434023282","897482","1434023282","897482",NA,"1-31698","Cafe 10  20Th Floor","2015-04-17T00:00:00","100","{""address"":""10 PEACHTREE PLZ"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30309""}",33.799511012,-84.392164352,NA,"FALSE"
"4837","5723622D-F9FC-4160-BDFB-9024F2CF27BC","4837","1434023282","897482","1434023282","897482",NA,"1-519","Cafe 1475","2015-05-18T00:00:00","99","{""address"":""1475 PEACHTREE ST NE"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30309""}",33.7943959460001,-84.387513326,NA,"FALSE"
"4838","0598BA41-B99E-481F-81F8-43342D7EDC21","4838","1434023282","897482","1434023282","897482",NA,"FSP-060-002266","Cafe 500","2015-01-26T00:00:00","96","{""address"":""500 NORTHRIDGE ROAD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30350""}",33.9820381260001,-84.344593133,NA,"FALSE"
"4839","5AB3F019-5070-41A6-81AC-2079D1CBCF95","4839","1434023282","897482","1434023282","897482",NA,"FSP-060-000181","Cafe 6000","2015-02-03T00:00:00","96","{""address"":""6000 WINDWARD PKWY"",""city"":""ALPHARETTA"",""state"":""GA"",""zip"":""30005""}",34.0898675060001,-84.2501452019999,NA,"FALSE"
"4840","67BC30E7-1DC3-4BBA-9887-B960C5145B5B","4840","1434023282","897482","1434023282","897482",NA,"FSP-060-001188","Cafe Agora Midtown","2015-01-28T00:00:00","94","{""address"":""92 PEACHTREE PL"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30309""}",33.780476262,-84.390323947,NA,"FALSE"
