establishment.name,address,city,time.in.h,time.in.m,time.in.ampm,time.out.h,time.out.m,time.out.ampm,inspection.date,cfsm,purpose.of.inspection,risk.type,permit.number,current.score,current.grade,template_type,date_time_in,date_time_out,inspection_duration
 CHICK-FIL-A, 2445 WESLEY CHAPEL ROAD, DECATUR,10.0,30.0,AM,1.0,50.0,PM,2016-06-03,Timothy Wilson,Routine,2,887948,89.0,B,Food_2015,2016-06-03T10:30:00Z,2016-06-03T13:50:00Z,3.3333333333333335
 CHICK-FIL-A, 2445 WESLEY CHAPEL ROAD, DECATUR,10.0,0.0,AM,11.0,55.0,AM,2015-11-10,Valincia Williams,Initial,2,887948,99.0,A,Food_2015,2015-11-10T10:00:00Z,2015-11-10T11:55:00Z,1.9166666666666667
 CHICK-FIL-A  #804, 5450 PEACHTREE INDUSTRIAL BOULEVARD, CHAMBLEE,11.0,50.0,AM,3.0,0.0,PM,2016-10-10,Theresa A Wilson 11/15/16,Routine,2,442036,87.0,B,Food_2015,2016-10-10T11:50:00Z,2016-10-10T15:00:00Z,3.1666666666666665
 CHICK-FIL-A  AT PERIMETER MALL, 4400 ASHFORD DUNWOODY ROAD NE, ATLANTA,12.0,55.0,PM,3.0,10.0,PM,2016-08-11,Ryan B. Southers,Routine,2,887862,93.0,A,Food_2015,2016-08-11T12:55:00Z,2016-08-11T15:10:00Z,2.25
 CHICK-FIL-A  AT PERIMETER MALL, 4400 ASHFORD DUNWOODY ROAD NE, ATLANTA,1.0,35.0,PM,3.0,0.0,PM,2016-01-27,Jesse Mitchell,Routine,2,887862,94.0,A,Food_2015,2016-01-27T13:35:00Z,2016-01-27T15:00:00Z,1.4166666666666667
 CHICK-FIL-A  AT TUCKER STATION, 4340 HUGH HOWELL ROAD, TUCKER,10.0,20.0,AM,12.0,15.0,PM,2016-03-29,Jacob Fair,Routine,2,887466,100.0,A,Food_2015,2016-03-29T10:20:00Z,2016-03-29T12:15:00Z,1.9166666666666667
 CHICK-FIL-A # 2799, 3967 LAVISTA ROAD, TUCKER,1.0,30.0,PM,3.0,5.0,PM,2016-08-08,Laura Jackson,Routine,2,885434,99.0,A,Food_2015,2016-08-08T13:30:00Z,2016-08-08T15:05:00Z,1.5833333333333333
 CHICK-FIL-A # 2799, 3967 LAVISTA ROAD, TUCKER,12.0,55.0,PM,2.0,25.0,PM,2015-12-30,Sandy L Nuon exp 6/11/19,Routine,2,885434,96.0,A,Food_2015,2015-12-30T12:55:00Z,2015-12-30T14:25:00Z,1.5
 CHICK-FIL-A @ TURNER HILL ROAD, 2985 TURNER HILL ROAD, LITHONIA,7.0,40.0,AM,9.0,15.0,AM,2016-05-24,Cheryl Scott 11/2019,Routine,2,449037,80.0,B,Food_2015,2016-05-24T07:40:00Z,2016-05-24T09:15:00Z,1.5833333333333333
 CHICK-FIL-A AT THE MALL AT STONECREST," 2929 TURNER HILL ROAD, SUITE 2550", LITHONIA,9.0,15.0,AM,10.0,45.0,AM,2016-05-16,Jeffrey Okelley 10/18,Routine,2,883696,90.0,A,Food_2015,2016-05-16T09:15:00Z,2016-05-16T10:45:00Z,1.5
