establishment.name,address,city,time.in.h,time.in.m,time.in.ampm,time.out.h,time.out.m,time.out.ampm,inspection.date,cfsm,purpose.of.inspection,risk.type,permit.number,current.score,current.grade,template_type,date_time_in,date_time_out,inspection_duration
UNION HILL RESTAURANT,5336 PEACHTREE ROAD,CHAMBLEE,12,15,PM,1,45,PM,2015-01-23,Alexis Hernandez,Routine,2,886508,87,B,Food,2015-01-23T12:15:00Z,2015-01-23T13:45:00Z,1.5
UNIVERSAL JOINT,906 OAKVIEW ROAD,DECATUR,2,35,PM,4,45,PM,2015-06-10,Nolan Daugherty,Follow-Up,2,448428,84,B,Food,2015-06-10T14:35:00Z,2015-06-10T16:45:00Z,2.1666666666666665
UNIVERSAL JOINT,906 OAKVIEW ROAD,DECATUR,1,10,PM,3,50,PM,2015-06-04,Nolan Dougherty,Routine,2,448428,65,U,Food,2015-06-04T13:10:00Z,2015-06-04T15:50:00Z,2.6666666666666665
URBAN PIE,2012-A HOSEA WILLIAMS DRIVE,ATLANTA,11,45,AM,12,50,PM,2015-05-22,Robert Rice,Routine,2,882295,92,A,Food,2015-05-22T11:45:00Z,2015-05-22T12:50:00Z,1.0833333333333333
US DELI,"5723 ROCKBRIDGE ROAD, SUITE A",STONE MOUNTAIN,1,5,PM,2,35,PM,2015-07-13,OK Whan Kim,Routine,2,882939,83,B,Food,2015-07-13T13:05:00Z,2015-07-13T14:35:00Z,1.5
US DELI,"5723 ROCKBRIDGE ROAD, SUITE A",STONE MOUNTAIN,3,40,PM,4,55,PM,2015-03-16,Ok Whan Kim,Follow-Up,2,882939,82,B,Food,2015-03-16T15:40:00Z,2015-03-16T16:55:00Z,1.25
US DELI,"5723 ROCKBRIDGE ROAD, SUITE A",STONE MOUNTAIN,3,30,PM,4,55,PM,2015-01-27,OK WHAN KIM,Routine,2,882939,73,C,Food,2015-01-27T15:30:00Z,2015-01-27T16:55:00Z,1.4166666666666667
"UTILITY ASSOCIATIES, INC","250 E. PONCE DE LEON , SUITE 600700",DECATUR,10,25,AM,11,40,AM,2015-04-30,Mark Gallagher,Routine,2,887538,99,A,Food,2015-04-30T10:25:00Z,2015-04-30T11:40:00Z,1.25
"UTILITY ASSOCIATIES, INC","250 E. PONCE DE LEON , SUITE 600700",DECATUR,11,0,AM,12,35,PM,2015-03-06,Due in 90 days,Initial,2,887538,100,A,Food,2015-03-06T11:00:00Z,2015-03-06T12:35:00Z,1.5833333333333333
VALENZA-VERO RESTAURANT,"1441 DRESDEN DRIVE, SUITE 100",ATLANTA,3,30,PM,4,40,PM,2015-04-22,Mather Swickerath,Routine,2,881568,99,A,Food,2015-04-22T15:30:00Z,2015-04-22T16:40:00Z,1.1666666666666667
VAN BAKERY CAFE/5 DE MAYO,4300 BUFORD HIGHWAY #201,ATLANTA,3,40,PM,5,5,PM,2015-06-09,Juana Reyes,Routine,2,887000,88,B,Food,2015-06-09T15:40:00Z,2015-06-09T17:05:00Z,1.4166666666666667
VANDERLYN ELEMENTARY SCHOOL,1877 VANDERLYN DRIVE,DUNWOODY,10,25,AM,11,20,AM,2015-05-01,Angela Presley,Routine,2,660800,96,A,Food,2015-05-01T10:25:00Z,2015-05-01T11:20:00Z,0.9166666666666666
VANDERLYN ELEMENTARY SCHOOL,1877 VANDERLYN DRIVE,DUNWOODY,7,55,AM,9,15,AM,2014-12-11,Angela Presley,Routine,2,660800,100,A,Food,2014-12-11T07:55:00Z,2014-12-11T09:15:00Z,1.3333333333333333
VEGETARIAN PARADISE,"6125 COVINGTON HIGHWAY, SUITE 5",DECATUR,3,5,PM,4,35,PM,2015-05-11,Thomas Simister,Routine,2,882215,86,B,Food,2015-05-11T15:05:00Z,2015-05-11T16:35:00Z,1.5
VERDE TAQUERIA,1426 DRESDEN DRIVE,ATLANTA,11,55,AM,1,20,PM,2015-06-26,Stephen Worrell,Routine,2,884345,96,A,Food,2015-06-26T11:55:00Z,2015-06-26T13:20:00Z,1.4166666666666667
VERDE TAQUERIA,1426 DRESDEN DRIVE,ATLANTA,1,25,PM,2,35,PM,2014-12-29,Stephen Worrell,Routine,2,884345,96,A,Food,2014-12-29T13:25:00Z,2014-12-29T14:35:00Z,1.1666666666666667
